altitude,time
2467.61,7.74
2471.75,7.75
2474.51,7.76
2477.06,7.77
2479.51,7.78
2483.66,7.79
2486.53,7.8
2489.3,7.81
2489.3,7.82
2492.39,7.83
2497.29,7.84
2499.74,7.85
2502.61,7.86
2505.6,7.87
2508.05,7.88
2511.89,7.89
2514.56,7.9
2519.04,7.91
2520.86,7.92
2520.86,7.93
2524.7,7.94
2532.08,7.95
2534.65,7.96
2537.64,7.97
2539.67,7.98
2542.46,7.99
2544.92,8
2548.34,8.01
2550.7,8.02
2552.52,8.03
2552.52,8.04
2555.2,8.05
2558.42,8.06
2560.13,8.07
2562.06,8.08
2566.25,8.09
2569.46,8.1
2572.26,8.11
2574.51,8.12
2577.62,8.13
2580.85,8.14
2580.85,8.15
2584.82,8.16
2591.28,8.17
2595.36,8.18
2597.73,8.19
2601.61,8.2
2606.24,8.21
2610.23,8.22
2613.14,8.23
2616.05,8.24
2618.31,8.25
2618.31,8.26
2623.27,8.27
2627.81,8.28
2632.56,8.29
2636.34,8.3
2640.02,8.31
2643.58,8.32
2647.59,8.33
2649.97,8.34
2652.78,8.35
2655.6,8.36
2655.6,8.37
2659.17,8.38
2663.18,8.39
2666.21,8.4
2668.38,8.41
2670.33,8.42
2672.17,8.43
2674.78,8.44
2677.92,8.45
2680.96,8.46
2683.57,8.47
2683.57,8.48
2686.72,8.49
2691.93,8.5
2692.8,8.51
2695.52,8.52
2697.7,8.53
2700.52,8.54
2703.35,8.55
2706.72,8.56
2711.08,8.57
2715.22,8.58
2715.22,8.59
2718.05,8.6
2722.08,8.61
2724.81,8.62
2728.08,8.63
2731.14,8.64
2734.96,8.65
2738.12,8.66
2741.18,8.67
2744.46,8.68
2747.3,8.69
2747.3,8.7
2750.9,8.71
2756.26,8.72
2759.76,8.73
2762.5,8.74
2765.89,8.75
2768.96,8.76
2771.37,8.77
2775.21,8.78
2777.84,8.79
2781.24,8.8
2781.24,8.81
2784.97,8.82
2790.67,8.83
2792.54,8.84
2794.85,8.85
2798.03,8.86
2800.34,8.87
2802.65,8.88
2805.18,8.89
2808.03,8.9
2809.79,8.91
2809.79,8.92
2812.54,8.93
2817.72,8.94
2819.81,8.95
2821.35,8.96
2823.77,8.97
2825.32,8.98
2828.62,8.99
2830.72,9
2833.69,9.01
2836.67,9.02
2836.67,9.03
2839.43,9.04
2844.5,9.05
2847.93,9.06
2849.8,9.07
2852.45,9.08
2854.11,9.09
2856.43,9.1
2858.86,9.11
2860.52,9.12
2863.62,9.13
2863.62,9.14
2866.94,9.15
2871.36,9.16
2874.02,9.17
2876.46,9.18
2878.67,9.19
2880.67,9.2
2883.66,9.21
2886.54,9.22
2889.09,9.23
2892.2,9.24
2892.2,9.25
2896.3,9.26
2903.63,9.27
2908.41,9.28
2912.41,9.29
2916.74,9.3
2920.75,9.31
2922.86,9.32
2925.2,9.33
2928.54,9.34
2931.32,9.35
2931.32,9.36
2934.11,9.37
2939.23,9.38
2944.14,9.39
2946.37,9.4
2948.38,9.41
2951.73,9.42
2954.18,9.43
2957.08,9.44
2959.76,9.45
2962,9.46
2962,9.47
2964.79,9.48
2969.26,9.49
2971.84,9.5
2973.29,9.51
2975.42,9.52
2977.54,9.53
2979.44,9.54
2980.9,9.55
2983.25,9.56
2986.83,9.57
2986.83,9.58
2988.74,9.59
2993.11,9.6
2995.01,9.61
2997.37,9.62
2998.94,9.63
3001.29,9.64
3002.86,9.65
3004.55,9.66
3005.56,9.67
3007.58,9.68
3007.58,9.69
3010.27,9.7
3013.42,9.71
3015.33,9.72
3018.59,9.73
3020.61,9.74
3023.76,9.75
3026.91,9.76
3028.7,9.77
3031.74,9.78
3035.68,9.79
3035.68,9.8
3040.52,9.81
3046.61,9.82
3049.54,9.83
3053.82,9.84
3057.77,9.85
3061.5,9.86
3064.88,9.87
3068.38,9.88
3072.23,9.89
3074.6,9.9
3074.6,9.91
3078.67,9.92
3084.55,9.93
3088.17,9.94
3090.21,9.95
3092.25,9.96
3093.72,9.97
3096.89,9.98
3100.18,9.99
3101.2,10
3103.92,10.01
3103.92,10.02
3107.55,10.03
3111.97,10.04
3116.62,10.05
3119.01,10.06
3121.17,10.07
3124.12,10.08
3127.3,10.09
3129.92,10.1
3132.53,10.11
3135.03,10.12
3135.03,10.13
3138.56,10.14
3141.75,10.15
3143.68,10.16
3146.3,10.17
3149.03,10.18
3151.2,10.19
3153.36,10.2
3155.41,10.21
3158.72,10.22
3160.43,10.23
3160.43,10.24
3163.17,10.25
3167.39,10.26
3169.56,10.27
3171.27,10.28
3173.78,10.29
3176.07,10.3
3178.46,10.31
3180.52,10.32
3183.04,10.33
3184.64,10.34
3184.64,10.35
3187.27,10.36
3188.98,10.37
3192.07,10.38
3193.67,10.39
3196.08,10.4
3198.02,10.41
3199.74,10.42
3202.26,10.43
3203.75,10.44
3205.92,10.45
3205.92,10.46
3210.28,10.47
3216.13,10.48
3218.65,10.49
3223.47,10.5
3226.57,10.51
3229.78,10.52
3233.12,10.53
3237.02,10.54
3240.93,10.55
3243.92,10.56
3243.92,10.57
3247.72,10.58
3252.55,10.59
3256.01,10.6
3259.92,10.61
3262.34,10.62
3264.88,10.63
3266.84,10.64
3270.65,10.65
3272.72,10.66
3274.34,10.67
3274.34,10.68
3278.38,10.69
3282.19,10.7
3285.31,10.71
3287.39,10.72
3289.58,10.73
3291.66,10.74
3294.9,10.75
3296.29,10.76
3298.83,10.77
3301.72,10.78
3301.72,10.79
3304.85,10.8
