time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
1.05,35.83,89396,1043.99,105.4,90.32,26,9.05,9.02,9.07
1.06,35.38,89375,1045.93,107.33,90.67,26,9.05,9.03,9.07
1.07,34.94,89382,1045.28,106.69,91.02,26,9.05,9.03,9.07
1.08,34.5,89354,1047.86,109.27,91.35,26,9.05,9.03,9.07
1.09,34.06,89355,1047.77,109.18,91.69,26,9.03,9.03,9.07
1.1,33.63,89345,1048.69,110.1,92.01,26,9.02,9.03,9.07
1.11,33.21,89345,1048.69,110.1,92.34,26,9.07,9.02,9.08
1.12,32.79,89323,1050.72,112.13,92.66,26,9.05,9.02,9.07
1.13,32.38,89315,1051.46,112.86,92.97,26,9.07,9.03,9.08
1.14,31.98,89308,1052.1,113.51,93.28,26,9.05,9.03,9.07
1.15,31.58,89302,1052.66,114.06,93.59,26,9.05,9.03,9.08
1.16,31.19,89278,1054.87,116.28,93.89,26,9.07,9.03,9.07
1.17,30.81,89290,1053.76,115.17,94.18,26,9.07,9.03,9.07
1.18,30.44,89257,1056.81,118.21,94.48,26,9.07,9.03,9.07
1.19,30.08,89248,1057.64,119.04,94.77,26,9.07,9.03,9.07
1.2,29.72,89244,1058.01,119.41,95.05,26,9.05,9.03,9.07
1.21,29.38,89229,1059.39,120.8,95.33,26,9.02,9.02,9.07
1.22,29.04,89229,1059.39,120.8,95.61,26,9.05,9.03,9.08
1.23,28.72,89221,1060.13,121.53,95.88,26,9.05,9.03,9.07
1.24,28.4,89215,1060.68,122.09,96.15,26,9.07,9.03,9.08
1.25,28.09,89192,1062.81,124.21,96.42,26,9.07,9.03,9.08
1.26,27.79,89174,1064.47,125.87,96.68,26,9.07,9.03,9.08
1.27,27.5,89186,1063.36,124.77,96.94,26,9.05,9.03,9.07
1.28,27.23,89156,1066.13,127.53,97.2,26,9.07,9.03,9.08
1.29,26.96,89150,1066.68,128.09,97.45,26,9.07,9.03,9.07
1.3,26.7,89138,1067.79,129.2,97.7,26,9.07,9.03,9.07
1.31,26.45,89124,1069.08,130.49,97.95,26,9.07,9.03,9.07
1.32,26.21,89136,1067.98,129.38,98.2,26,9.02,9.03,9.07
1.33,25.99,89136,1067.98,129.38,98.44,26,9.05,9.03,9.08
1.34,25.77,89101,1071.21,132.61,98.68,26,9.05,9.02,9.05
1.35,25.57,89085,1072.69,134.09,98.92,26,9.07,9.03,9.07
1.36,25.37,89073,1073.8,135.2,99.16,26,9.07,9.05,9.08
1.37,25.19,89074,1073.7,135.11,99.39,26,9.05,9.05,9.08
1.38,25.01,89043,1076.57,137.97,99.62,26,9.07,9.03,9.08
1.39,24.85,89044,1076.48,137.88,99.86,26,9.05,9.03,9.07
1.4,24.7,89019,1078.79,140.19,100.09,26,9.07,9.03,9.08
1.41,24.55,89018,1078.88,140.28,100.32,26,9.07,9.03,9.07
1.42,24.42,89010,1079.62,141.02,100.54,26,9.05,9.03,9.07
1.43,24.3,88998,1080.73,142.13,100.77,26,9.02,9.02,9.07
1.44,24.18,88998,1080.73,142.13,101,26,9.07,9.03,9.08
1.45,24.08,88992,1081.28,142.69,101.22,26,9.05,9.02,9.07
1.46,23.98,88963,1083.96,145.37,101.44,26,9.07,9.03,9.08
1.47,23.9,88957,1084.52,145.92,101.67,26,9.07,9.03,9.07
1.48,23.82,88938,1086.28,147.68,101.89,26,9.05,9.03,9.08
1.49,23.76,88942,1085.91,147.31,102.11,26,9.07,9.03,9.08
1.5,23.7,88910,1088.87,150.27,102.33,26,9.07,9.03,9.08
1.51,23.65,88912,1088.68,150.09,102.55,26,9.07,9.03,9.08
1.52,23.61,88891,1090.63,152.03,102.77,26,9.07,9.03,9.08
1.53,23.57,88873,1092.29,153.7,102.99,26,9.07,9.03,9.08
1.54,23.54,88878,1091.83,153.23,103.21,26,9.02,9.02,9.07
1.55,23.52,88878,1091.83,153.23,103.43,26,9.07,9.02,9.08
1.56,23.51,88868,1092.75,154.16,103.65,26,9.05,9.02,9.07
1.57,23.51,88843,1095.07,156.47,103.88,26,9.07,9.03,9.08
1.58,23.51,88825,1096.74,158.14,104.1,26,9.07,9.05,9.08
1.59,23.51,88821,1097.11,158.51,104.32,26,9.05,9.03,9.07
1.6,23.52,88800,1099.05,160.46,104.54,26,9.07,9.03,9.08
1.61,23.54,88791,1099.89,161.29,104.77,26,9.07,9.03,9.08
1.62,23.56,88788,1100.16,161.57,104.99,26,9.07,9.03,9.07
1.63,23.59,88756,1103.13,164.53,105.21,26,9.07,9.03,9.08
1.64,23.62,88758,1102.94,164.35,105.44,26,9.05,9.03,9.08
1.65,23.65,88738,1104.8,166.2,105.66,26,9.02,9.03,9.07
1.66,23.69,88738,1104.8,166.2,105.89,26,9.05,9.03,9.08
